t[s];alpha_HJ[rad];omega_HJ[rad/s];alpha_Rosen[rad];omega_Rosen[rad/s]
0,000000;0,000000;0,000000;0,000000;0,000000
0,100000;0,002227;0,044143;0,002227;0,044150
0,200000;0,008750;0,085937;0,008752;0,085949
0,300000;0,019338;0,125444;0,019341;0,125460
0,400000;0,033765;0,162728;0,033770;0,162748
0,500000;0,051812;0,197850;0,051818;0,197873
0,600000;0,073265;0,230875;0,073274;0,230900
0,700000;0,097919;0,261864;0,097930;0,261890
0,800000;0,125572;0,290880;0,125586;0,290905
0,900000;0,156031;0,317982;0,156048;0,318008
1,000000;0,189107;0,343234;0,189126;0,343258
1,100000;0,224618;0,366695;0,224640;0,366718
1,200000;0,262388;0,388424;0,262412;0,388446
1,300000;0,302247;0,408482;0,302273;0,408501
1,400000;0,344031;0,426926;0,344058;0,426943
1,500000;0,387581;0,443815;0,387610;0,443829
1,600000;0,432744;0,459205;0,432774;0,459215
1,700000;0,479373;0,473152;0,479405;0,473159
1,800000;0,527328;0,485711;0,527360;0,485715
1,900000;0,576471;0,496937;0,576503;0,496937
2,000000;0,626673;0,506883;0,626704;0,506879
2,100000;0,677807;0,515601;0,677838;0,515594
2,200000;0,729754;0,523143;0,729784;0,523132
2,300000;0,782398;0,529559;0,782427;0,529544
2,400000;0,835630;0,534898;0,835657;0,534879
2,500000;0,889343;0,539209;0,889368;0,539186
2,600000;0,943439;0,542538;0,943461;0,542512
2,700000;0,997820;0,544933;0,997840;0,544903
2,800000;1,052396;0,546438;1,052412;0,546404
2,900000;1,107079;0,547097;1,107092;0,547059
3,000000;1,161788;0,546953;1,161797;0,546912
3,100000;1,216444;0,546048;1,216449;0,546003
3,200000;1,270974;0,544422;1,270974;0,544374
3,300000;1,325306;0,542116;1,325301;0,542065
3,400000;1,379375;0,539167;1,379365;0,539113
3,500000;1,433119;0,535613;1,433104;0,535557
3,600000;1,486479;0,531491;1,486458;0,531432
3,700000;1,539400;0,526836;1,539372;0,526774
3,800000;1,591830;0,521681;1,591796;0,521617
3,900000;1,643720;0,516060;1,643680;0,515995
4,000000;1,695027;0,510006;1,694980;0,509938
4,100000;1,745708;0,503548;1,745655;0,503479
4,200000;1,795724;0,496718;1,795664;0,496647
4,300000;1,845040;0,489543;1,844972;0,489471
4,400000;1,893623;0,482052;1,893548;0,481979
4,500000;1,941441;0,474272;1,941359;0,474198
4,600000;1,988468;0,466229;1,988378;0,466154
4,700000;2,034679;0,457947;2,034582;0,457872
4,800000;2,080051;0,449451;2,079946;0,449376
4,900000;2,124563;0,440764;2,124450;0,440688
5,000000;2,168198;0,431907;2,168078;0,431831
5,100000;2,210939;0,422902;2,210812;0,422827
5,200000;2,252774;0,413770;2,252639;0,413695
5,300000;2,293690;0,404529;2,293547;0,404455
5,400000;2,333677;0,395199;2,333527;0,395125
5,500000;2,372727;0,385797;2,372570;0,385724
5,600000;2,410834;0,376340;2,410670;0,376268
5,700000;2,447994;0,366844;2,447822;0,366773
5,800000;2,484203;0,357325;2,484023;0,357255
5,900000;2,519459;0,347797;2,519273;0,347728
6,000000;2,553762;0,338274;2,553569;0,338206
6,100000;2,587114;0,328768;2,586914;0,328703
6,200000;2,619517;0,319294;2,619311;0,319230
6,300000;2,650974;0,309862;2,650762;0,309799
6,400000;2,681491;0,300483;2,681272;0,300422
6,500000;2,711073;0,291168;2,710848;0,291109
6,600000;2,739727;0,281926;2,739497;0,281869
6,700000;2,767461;0,272767;2,767225;0,272713
6,800000;2,794283;0,263699;2,794042;0,263647
6,900000;2,820204;0,254731;2,819958;0,254681
7,000000;2,845233;0,245869;2,844982;0,245822
7,100000;2,869382;0,237122;2,869126;0,237076
