Nr;Dlugosc_kroku;x1_0;x2_0;x1_HJ;x2_HJ;f_HJ;calls_HJ;Min_global_HJ;x1_Rosen;x2_Rosen;f_Rosen;calls_Rosen;Min_global_Rosen
1;0,500000;0,503151;0,892159;-0,000756;0,774972;0,619857;69;NIE;-0,000756;0,774728;0,619855;51;NIE
2;0,500000;-0,559122;0,033596;-0,000529;0,000393;0,000014;74;TAK;0,000448;0,000393;0,000011;39;TAK
3;0,500000;-0,717993;0,663025;-0,774634;0,000916;0,619864;98;NIE;-0,774634;0,774353;1,239679;35;NIE
4;0,500000;-0,698747;-0,737136;-0,774918;-0,774245;1,239683;91;NIE;-0,774918;-0,775222;1,239684;35;NIE
5;0,500000;-0,935214;-0,354551;-0,775058;0,000918;0,619868;95;NIE;-0,775058;-0,001035;0,619875;39;NIE
6;0,500000;0,359689;-0,120231;0,773752;0,000863;0,619890;91;NIE;0,775705;0,000008;0,619868;43;NIE
7;0,500000;0,953317;0,806625;0,775582;0,775375;1,239711;92;NIE;0,774606;0,773422;1,239727;39;NIE
8;0,500000;-0,500601;0,285287;-0,000601;0,775521;0,619869;76;NIE;0,000376;0,773568;0,619883;31;NIE
9;0,500000;-0,374096;0,452860;0,000904;0,775125;0,619868;90;NIE;-0,000011;0,775125;0,619842;43;NIE
10;0,500000;-0,818297;-0,736017;-0,775329;-0,775079;1,239690;75;NIE;-0,775329;-0,775079;1,239690;31;NIE
11;0,500000;0,710733;0,314779;0,775186;0,773763;1,239710;91;NIE;0,775186;0,774740;1,239681;43;NIE
12;0,500000;0,783968;-0,724933;0,774202;-0,773762;1,239711;75;NIE;0,774202;-0,775715;1,239714;31;NIE
13;0,500000;0,249815;0,681554;0,775206;0,775304;1,239693;84;NIE;0,773253;0,774328;1,239746;31;NIE
14;0,500000;-0,161469;-0,611029;0,000641;0,000299;0,000016;105;TAK;-0,001313;0,000299;0,000058;39;TAK
15;0,500000;0,702543;0,576293;0,774808;0,000121;0,619838;81;NIE;0,774808;0,774535;1,239676;39;NIE
16;0,500000;0,850101;-0,667343;0,773929;0,774063;1,239707;95;NIE;0,773929;0,774063;1,239707;35;NIE
