Iteracja;x1_HJ;x2_HJ;x1_Rosen;x2_Rosen
0;-0,950000;0,950000;-0,950000;0,950000
1;-0,870000;0,870000;-0,870000;0,950000
2;-0,790000;0,790000;-0,710000;0,950000
3;-0,770000;0,770000;-0,710000;0,910000
4;-0,775000;0,775000;-0,710000;0,830000
5;-0,774687;0,774687;-0,750000;0,830000
6;-0,774727;0,774727;-0,750000;0,790000
7;-0,774707;0,774707;-0,770000;0,790000
8;;;-0,770000;0,770000
9;;;-0,770000;0,775000
10;;;-0,772500;0,775000
11;;;-0,773750;0,775000
12;;;-0,773750;0,774687
13;;;-0,774375;0,774687
14;;;-0,774687;0,774687
15;;;-0,774687;0,774707
16;;;-0,774727;0,774707
17;;;-0,774727;0,774717
